DATAFLOW,LAST UPDATE,freq,indic,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Euro area – 20 countries (from 2023),2025-Q2,152.79,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Estonia,2022-Q3,190.94,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Estonia,2022-Q4,191.38,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Estonia,2023-Q1,191.43,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Estonia,2023-Q2,198.79,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Estonia,2023-Q3,198.26,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Estonia,2023-Q4,202.40,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Estonia,2024-Q1,206.38,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Estonia,2024-Q2,212.10,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Estonia,2024-Q3,211.03,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Estonia,2024-Q4,209.64,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Estonia,2025-Q1,215.90,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Estonia,2025-Q2,223.74,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Spain,2022-Q3,144.15,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Spain,2022-Q4,142.99,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Spain,2023-Q1,143.98,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Spain,2023-Q2,146.97,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Spain,2023-Q3,150.68,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Spain,2023-Q4,149.13,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Spain,2024-Q1,153.18,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Spain,2024-Q2,158.63,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Spain,2024-Q3,163.12,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Spain,2024-Q4,166.07,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Spain,2025-Q1,172.00,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)",Spain,2025-Q2,178.89,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2022-Q3,150.02,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2022-Q4,147.89,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2023-Q1,146.73,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2023-Q2,147.33,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2023-Q3,148.28,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2023-Q4,148.00,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2024-Q1,148.93,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2024-Q2,151.79,,
ESTAT:TEICP270(1.0),03/10/25 11:00:00,Quarterly,Total,"Index, 2015=100 (NSA)","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2024-Q3,154.16,,
